:nemesis	:info	:start-partition	:majority
1	:invoke	:broadcast	0
:nemesis	:info	:start-partition	[:isolated {"n0" #{"n2" "n1" "n4"}, "n3" #{"n2" "n1" "n4"}, "n2" #{"n0" "n3"}, "n1" #{"n0" "n3"}, "n4" #{"n0" "n3"}}]
1	:ok	:broadcast	0
2	:invoke	:broadcast	1
2	:ok	:broadcast	1
3	:invoke	:broadcast	2
3	:ok	:broadcast	2
4	:invoke	:read	nil
4	:ok	:read	[0 1]
0	:invoke	:read	nil
0	:ok	:read	[2]
0	:invoke	:broadcast	3
0	:ok	:broadcast	3
1	:invoke	:read	nil
1	:ok	:read	[0 1]
2	:invoke	:read	nil
2	:ok	:read	[0 1]
3	:invoke	:read	nil
3	:ok	:read	[2 3]
4	:invoke	:read	nil
4	:ok	:read	[0 1]
0	:invoke	:read	nil
0	:ok	:read	[2 3]
0	:invoke	:read	nil
0	:ok	:read	[2 3]
1	:invoke	:broadcast	4
1	:ok	:broadcast	4
2	:invoke	:read	nil
2	:ok	:read	[0 1 4]
3	:invoke	:read	nil
3	:ok	:read	[2 3]
4	:invoke	:read	nil
4	:ok	:read	[0 1 4]
0	:invoke	:broadcast	5
0	:ok	:broadcast	5
0	:invoke	:broadcast	6
0	:ok	:broadcast	6
1	:invoke	:read	nil
1	:ok	:read	[0 1 4]
2	:invoke	:read	nil
2	:ok	:read	[0 1 4]
3	:invoke	:broadcast	7
3	:ok	:broadcast	7
4	:invoke	:broadcast	8
4	:ok	:broadcast	8
0	:invoke	:broadcast	9
0	:ok	:broadcast	9
0	:invoke	:read	nil
0	:ok	:read	[2 3 5 6 7 9]
1	:invoke	:broadcast	10
1	:ok	:broadcast	10
2	:invoke	:broadcast	11
2	:ok	:broadcast	11
3	:invoke	:read	nil
3	:ok	:read	[2 3 5 6 7 9]
4	:invoke	:read	nil
4	:ok	:read	[0 1 4 8 10 11]
0	:invoke	:read	nil
0	:ok	:read	[2 3 5 6 7 9]
0	:invoke	:broadcast	12
0	:ok	:broadcast	12
1	:invoke	:broadcast	13
1	:ok	:broadcast	13
2	:invoke	:read	nil
2	:ok	:read	[0 1 4 8 10 11 13]
3	:invoke	:broadcast	14
3	:ok	:broadcast	14
4	:invoke	:read	nil
4	:ok	:read	[0 1 4 8 10 11 13]
0	:invoke	:read	nil
0	:ok	:read	[2 3 5 6 7 9 12 14]
0	:invoke	:broadcast	15
0	:ok	:broadcast	15
1	:invoke	:read	nil
1	:ok	:read	[0 1 4 8 10 11 13]
2	:invoke	:broadcast	16
2	:ok	:broadcast	16
3	:invoke	:read	nil
3	:ok	:read	[2 3 5 6 7 9 12 14 15]
4	:invoke	:read	nil
4	:ok	:read	[0 1 4 8 10 11 13 16]
0	:invoke	:read	nil
0	:ok	:read	[2 3 5 6 7 9 12 14 15]
0	:invoke	:read	nil
0	:ok	:read	[2 3 5 6 7 9 12 14 15]
1	:invoke	:broadcast	17
1	:ok	:broadcast	17
2	:invoke	:read	nil
2	:ok	:read	[0 1 4 8 10 11 13 16 17]
3	:invoke	:read	nil
3	:ok	:read	[2 3 5 6 7 9 12 14 15]
4	:invoke	:read	nil
4	:ok	:read	[0 1 4 8 10 11 13 16 17]
0	:invoke	:broadcast	18
0	:ok	:broadcast	18
0	:invoke	:broadcast	19
0	:ok	:broadcast	19
1	:invoke	:broadcast	20
1	:ok	:broadcast	20
2	:invoke	:broadcast	21
2	:ok	:broadcast	21
3	:invoke	:read	nil
3	:ok	:read	[2 3 5 6 7 9 12 14 15 18 19]
4	:invoke	:broadcast	22
4	:ok	:broadcast	22
0	:invoke	:read	nil
0	:ok	:read	[2 3 5 6 7 9 12 14 15 18 19]
0	:invoke	:broadcast	23
0	:ok	:broadcast	23
1	:invoke	:broadcast	24
1	:ok	:broadcast	24
2	:invoke	:broadcast	25
2	:ok	:broadcast	25
3	:invoke	:broadcast	26
3	:ok	:broadcast	26
4	:invoke	:read	nil
4	:ok	:read	[0 1 4 8 10 11 13 16 17 20 21 22 24 25]
0	:invoke	:broadcast	27
0	:ok	:broadcast	27
0	:invoke	:broadcast	28
0	:ok	:broadcast	28
1	:invoke	:broadcast	29
1	:ok	:broadcast	29
2	:invoke	:read	nil
2	:ok	:read	[0 1 4 8 10 11 13 16 17 20 21 22 24 25 29]
3	:invoke	:broadcast	30
3	:ok	:broadcast	30
4	:invoke	:read	nil
4	:ok	:read	[0 1 4 8 10 11 13 16 17 20 21 22 24 25 29]
0	:invoke	:read	nil
0	:ok	:read	[2 3 5 6 7 9 12 14 15 18 19 23 26 27 28 30]
0	:invoke	:broadcast	31
0	:ok	:broadcast	31
1	:invoke	:read	nil
1	:ok	:read	[0 1 4 8 10 11 13 16 17 20 21 22 24 25 29]
2	:invoke	:read	nil
2	:ok	:read	[0 1 4 8 10 11 13 16 17 20 21 22 24 25 29]
3	:invoke	:read	nil
3	:ok	:read	[2 3 5 6 7 9 12 14 15 18 19 23 26 27 28 30 31]
4	:invoke	:read	nil
4	:ok	:read	[0 1 4 8 10 11 13 16 17 20 21 22 24 25 29]
0	:invoke	:read	nil
0	:ok	:read	[2 3 5 6 7 9 12 14 15 18 19 23 26 27 28 30 31]
0	:invoke	:broadcast	32
0	:ok	:broadcast	32
1	:invoke	:broadcast	33
1	:ok	:broadcast	33
2	:invoke	:read	nil
2	:ok	:read	[0 1 4 8 10 11 13 16 17 20 21 22 24 25 29 33]
3	:invoke	:read	nil
3	:ok	:read	[2 3 5 6 7 9 12 14 15 18 19 23 26 27 28 30 31 32]
:nemesis	:info	:stop-partition	nil
:nemesis	:info	:stop-partition	:network-healed
0	:invoke	:broadcast	34
0	:ok	:broadcast	34
0	:invoke	:broadcast	35
0	:ok	:broadcast	35
1	:invoke	:broadcast	36
1	:ok	:broadcast	36
2	:invoke	:read	nil
2	:ok	:read	[0 1 4 8 10 11 13 16 17 20 21 22 24 25 29 33 34 34 35 35 36]
3	:invoke	:broadcast	37
3	:ok	:broadcast	37
4	:invoke	:read	nil
4	:ok	:read	[0 1 4 8 10 11 13 16 17 20 21 22 24 25 29 33 34 34 35 35 36 36 37 37]
0	:invoke	:broadcast	38
0	:ok	:broadcast	38
0	:invoke	:read	nil
0	:ok	:read	[2 3 5 6 7 9 12 14 15 18 19 23 26 27 28 30 31 32 34 35 36 36 37 37 38]
1	:invoke	:broadcast	39
1	:ok	:broadcast	39
2	:invoke	:read	nil
2	:ok	:read	[0 1 4 8 10 11 13 16 17 20 21 22 24 25 29 33 34 34 35 35 36 37 37 38 38 39]
3	:invoke	:broadcast	40
3	:ok	:broadcast	40
4	:invoke	:read	nil
4	:ok	:read	[0 1 4 8 10 11 13 16 17 20 21 22 24 25 29 33 34 34 35 35 36 36 37 37 38 38 39 39 40 40]
0	:invoke	:broadcast	41
0	:ok	:broadcast	41
0	:invoke	:read	nil
0	:ok	:read	[2 3 5 6 7 9 12 14 15 18 19 23 26 27 28 30 31 32 34 35 36 36 37 37 38 39 39 40 40 41]
1	:invoke	:broadcast	42
1	:ok	:broadcast	42
2	:invoke	:broadcast	43
2	:ok	:broadcast	43
3	:invoke	:read	nil
3	:ok	:read	[2 3 5 6 7 9 12 14 15 18 19 23 26 27 28 30 31 32 34 34 35 35 36 36 37 38 38 39 39 40 41 41 42 42 43 43]
4	:invoke	:read	nil
